"","q1","","","","","q2","","","","","q3","","","","","q4","","","","","q5","","","","","q6","","","","","q7","","","","","q8","","","","","q9","","","",""
"","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95"
"b_treatment",".6440793",".2314968","2.782238",".0058053",".188173,1.099986",".498774",".2108638","2.365385",".0187662",".0835021,.914046",".3640633",".1673292","2.175731",".0305012",".0345277,.693599",".4916437",".1174729","4.185166",".0000393",".2602943,.7229931",".4545348",".1181545","3.846953",".0001514",".2218431,.6872264",".4461749",".2057564","2.168462",".0310557",".0409614,.8513883",".4533732",".1657603","2.735113",".006677",".1269273,.779819",".2714508",".1864222","1.456108",".1466027","-.0956863,.6385879","6.50e-18","1.03e-07","6.28e-11","1","-2.04e-07,2.04e-07"
"_Icommunity_2","-.194738",".3629559","-.5365337",".5920612","-.9095378,.5200617",".1320197",".3160429",".4177272",".6765009","-.4903903,.7544297",".2570926",".2397234","1.072455",".2845375","-.215015,.7292002",".2312981",".1712559","1.350599",".1780306","-.1059707,.5685668",".5261396",".1745061","3.015022",".002831",".1824701,.8698092",".2162456",".3044974",".7101722",".4782514","-.3834269,.8159181",".1115088",".2384708",".4675994",".6404736","-.358132,.5811496",".1936837",".2617193",".7400436",".4599597","-.3217423,.7091097","-5.98e-16","1.27e-07","-4.71e-09","1","-2.50e-07,2.50e-07"
"_Icommunity_3",".5577106",".4054731","1.375456",".1702066","-.240822,1.356243",".4892961",".3464834","1.412177",".1591266","-.1930632,1.171655",".3584985",".2711347","1.322216",".1872904","-.1754699,.892467",".456687",".1892058","2.413705",".0165022",".084068,.8293059",".5896976",".1915352","3.078796",".0023073",".2124912,.9669041",".1932513",".332069",".5819613",".5611109","-.4607203,.847223","-.0545865",".2725254","-.2002989",".8414078","-.5912939,.4821209",".2008157",".3063897",".6554259",".5127891","-.4025835,.804215","-6.25e-16","1.10e-07","-5.66e-09","1","-2.18e-07,2.18e-07"
"_Icommunity_4","-.2552114",".4125608","-.6186032",".5367343","-1.067702,.5572795","-.192748",".4292475","-.4490369",".6537894","-1.038102,.6526056",".0391293",".3532343",".1107745",".911883","-.656525,.7347837",".4105216",".2524971","1.625847",".1052272","-.0867423,.9077854",".6732366",".256955","2.620056",".009323",".1671933,1.17928",".4404783",".4568235",".9642199",".3358564","-.459183,1.34014",".4402539",".3483906","1.263679",".2075083","-.2458612,1.126369",".9423189",".3858199","2.44238",".0152759",".182491,1.702147",".6323855","2.58e-07","2447298","0",".632385,.632386"
"_Icommunity_5",".6792455",".3896164","1.74337",".0824838","-.0880592,1.44655",".58263",".374788","1.554559",".1213011","-.1554717,1.320732",".6523274",".30433","2.143487",".0330278",".0529845,1.25167",".5667512",".2182153","2.597211",".0099489",".1370012,.9965011",".8296645",".2222502","3.73302",".0002337",".3919683,1.267361",".5548279",".3813254","1.454998",".1469093","-.1961486,1.305804",".1847888",".3169665",".5829914",".5604183","-.4394402,.8090177",".3844625",".3277909","1.172889",".2419432","-.261084,1.030009","1.04e-16","1.66e-07","6.28e-10","1","-3.27e-07,3.27e-07"
"b_care_female",".4817973",".2369221","2.033568",".0430388",".0152065,.9483881",".1489012",".2143158",".6947746",".4878341","-.2731691,.5709715",".2546771",".1766186","1.44196",".1505503","-.093153,.6025071",".2333365",".1268643","1.83926",".0670487","-.0165082,.4831812",".145871",".1301743","1.120582",".2635282","-.1104922,.4022343",".1034342",".2316273",".4465543",".6555789","-.3527291,.5595975",".0253858",".1869479",".1357911",".8920944","-.3427864,.3935581",".1946124",".1978606",".9835835",".32626","-.1950512,.5842761","1.27e-16","1.01e-07","1.25e-09","1","-2.00e-07,2.00e-07"
"b_care_marcohab","-.0805649",".3496856","-.2303924",".8179731","-.7692305,.6081007","-.0873204",".3733107","-.2339082",".8152454","-.8225128,.647872","-.1327442",".2960814","-.4483369",".6542938","-.7158425,.4503541",".0219207",".204108",".1073977",".9145586","-.3800465,.423888",".0320106",".2090823",".1531003",".8784412","-.3797529,.4437741",".0049282",".3669032",".0134319",".9892938","-.7176454,.7275018","-.0132524",".304127","-.0435753",".9652773","-.6121956,.5856907",".089976",".3287605",".2736825",".7845519","-.5574799,.7374319","-3.74e-16","1.36e-07","-2.75e-09","1","-2.68e-07,2.68e-07"
"b_christian",".3961063",".3376933","1.172976",".2419085","-.2689418,1.061154",".4102403",".3360384","1.220814",".2232931","-.2515486,1.072029",".6140771",".2623542","2.340642",".0200281",".0974008,1.130754",".6669906",".1859316","3.587289",".000401",".3008196,1.033162",".8635418",".1910667","4.519582","9.52e-06",".4872578,1.239826",".8835739",".3344219","2.642093",".0087531",".2249685,1.542179",".6742406",".2574759","2.618656",".0093604",".1671716,1.18131",".7524535",".3038491","2.476405",".013926",".1540577,1.350849",".6323855","2.51e-07","2519812","0",".632385,.632386"
"b_incall99","-.0004805",".0017104","-.28093",".7789937","-.0038489,.0028879","-.0017738",".0024373","-.7277741",".4674248","-.0065737,.0030261","-.0015933",".0019053","-.8362589",".4037984","-.0053457,.002159","-.0016189",".0013556","-1.194213",".2335132","-.0042886,.0010508","-.0010845",".0014292","-.7588331",".4486587","-.0038992,.0017301","-.0010752",".0024264","-.4431114",".6580638","-.0058536,.0037033","-.00028",".00177","-.1582136",".8744147","-.0037658,.0032058","-.0011678",".0019768","-.5907737",".5551994","-.0050608,.0027252","1.06e-18","1.56e-09","6.81e-10","1","-3.08e-09,3.08e-09"
