"","q1","","","","","q2","","","","","q3","","","","","q4","","","","","q5","","","","","q6","","","","","q7","","","","","q8","","","","","q9","","","",""
"","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95"
"b_treatment","-.1876238",".0395554","-4.743315","3.52e-06","-.2655237,-.109724","-.3764396",".0595002","-6.326694","1.13e-09","-.4936184,-.2592608","-.517283",".0707376","-7.312707","3.44e-12","-.6565925,-.3779736","-.5221242",".1082599","-4.822877","2.45e-06","-.7353296,-.3089188","-.6214347",".0870707","-7.137125","1.00e-11","-.7929104,-.4499589","-.5668208",".1416395","-4.001855",".0000826","-.8457636,-.2878781","-.6812587",".1261612","-5.399906","1.54e-07","-.9297186,-.4327987","-.802282",".3438403","-2.333298",".0204166","-1.479436,-.1251281","-1.310202",".3036384","-4.315006",".0000229","-1.908182,-.7122207"
"_Icommunity_2","-.0483612",".0561765","-.8608787",".39012","-.1589943,.062272",".0276472",".0902287",".3064129",".7595423","-.1500478,.2053422","-.0037307",".1057507","-.0352781",".9718858","-.2119946,.2045332",".0770304",".1607008",".4793404",".6321106","-.2394513,.393512",".1981908",".1286001","1.541141",".1245323","-.0550722,.4514539",".1443184",".2105227",".6855239",".493641","-.2702819,.5589186",".2000781",".1800089","1.11149",".2674126","-.1544287,.5545849","-.0298176",".4834569","-.0616759",".9508697","-.9819304,.9222951","-.6357931",".4342089","-1.464256",".1443653","-1.490917,.2193312"
"_Icommunity_3","-.0426138",".066027","-.6453997",".5192531","-.1726463,.0874187","-.0171663",".0966121","-.177683",".8591141","-.2074328,.1731001","-.1057244",".1127397","-.9377747",".3492546","-.3277523,.1163034","-.1411088",".1744623","-.808821",".4193781","-.4846922,.2024747","-.1110882",".1426834","-.7785647",".4369637","-.3920867,.1699102","-.2924177",".2302646","-1.26992",".2052799","-.7458973,.161062","-.2082043",".1986071","-1.048323",".2954904","-.5993382,.1829295","-.2528727",".5428562","-.4658189",".6417459","-1.321965,.81622","-.6428347",".4792713","-1.341275",".181034","-1.586704,.301035"
"_Icommunity_4","-.0967403",".0888474","-1.088836",".2772623","-.2717151,.0782345","-.0154116",".1277712","-.1206187",".9040888","-.2670423,.2362191",".0079519",".1568159",".0507084",".9595979","-.3008789,.3167827",".0735404",".2347727",".313241",".7543556","-.3888174,.5358983",".1174876",".1886967",".6226265",".5340908","-.2541289,.4891041","-.2611065",".3140625","-.831384",".4065407","-.8796163,.3574033","-.322219",".2823397","-1.141246",".2548466","-.8782545,.2338164","-.3816813",".721022","-.5293614",".5970189","-1.801651,1.038289","-.8962772",".6489293","-1.381163",".1684475","-2.174269,.3817143"
"_Icommunity_5",".172743",".092209","1.873386",".062168","-.008852,.354338",".1156403",".1205088",".9595999",".3381728","-.121688,.3529685",".1367147",".1413432",".9672535",".334341","-.1416444,.4150739",".4296405",".2056838","2.08884",".0377217",".02457,.834711",".5228775",".1664243","3.141834",".0018788",".195124,.850631",".3034189",".2612671","1.161336",".2465998","-.2111166,.8179544",".2458235",".2284502","1.076049",".2829305","-.2040828,.6957298","-.1317642",".6219766","-.2118474",".8323966","-1.356676,1.093147","-.2455715",".5608153","-.437883",".6618447","-1.350033,.8588897"
"b_care_female",".106785",".0399467","2.673186",".0080022",".0281146,.1854555",".0647871",".066252",".9778893",".3290632","-.0656886,.1952628",".0718233",".0800004",".8977865",".3701529","-.0857283,.2293749",".1539665",".1232954","1.248761",".2129068","-.0888496,.3967826",".2478445",".0967303","2.562221",".0109805",".0573452,.4383437",".4418591",".1541122","2.867127",".0044911",".138353,.7453653",".5159974",".1348091","3.827617",".0001631",".2505065,.7814883",".4604171",".3665062","1.256233",".2101903","-.2613746,1.182209",".7978899",".3044946","2.620375",".0093146",".198223,1.397557"
"b_care_marcohab",".0269345",".0576995",".4668073",".6410395","-.086698,.140567","-.0176018",".1060415","-.1659896",".8682977","-.2264383,.1912347",".0113909",".1306415",".087192",".9305879","-.2458924,.2686742","-.0203106",".1924682","-.1055272",".9160411","-.3993546,.3587333","-.014439",".1534015","-.0941257",".9250838","-.3165455,.2876675",".0468344",".2511383",".1864885",".8522112","-.4477536,.5414224",".061845",".2053307",".301197",".7635117","-.3425302,.4662202",".118883",".5512448",".2156628",".8294244","-.9667301,1.204496","-.7463485",".4748848","-1.571641",".1172835","-1.681579,.1888824"
"b_christian","-.0773939",".0693221","-1.116438",".265294","-.2139158,.0591281","-.0049581",".0923079","-.0537128",".9572064","-.1867479,.1768317",".0113356",".1172504",".0966784",".9230583","-.2195756,.2422467",".124038",".1720514",".7209359",".4716146","-.2147974,.4628735",".0479054",".1383464",".346271",".7294269","-.224552,.3203627","-.1589292",".2342693","-.678404",".4981356","-.6202957,.3024372","-.3032543",".2079389","-1.458382",".1459756","-.712766,.1062574","-.3950976",".5380501","-.7343138",".4634375","-1.454725,.6645301","-.2820297",".5406726","-.5216276",".602386","-1.346822,.7827626"
"b_incall99",".0006885",".0003788","1.817454",".0703306","-.0000576,.0014346",".0006497",".0006154","1.055697",".2921137","-.0005623,.0018616","-.0000241",".0007195","-.0335341",".9732751","-.001441,.0013928","-.000419",".0012171","-.3442579",".7309383","-.0028158,.0019779",".0004084",".0009814",".4161328",".6776656","-.0015244,.0023412",".0002338",".0015425",".1515608",".8796541","-.0028039,.0032715","-.0006104",".0013351","-.4572322",".6478965","-.0032398,.0020189","-.000048",".0037601","-.012765",".9898254","-.0074531,.0073571",".0029401",".0026827","1.095956",".2741402","-.0023431,.0082233"
