"","q1","","","","","q2","","","","","q3","","","","","q4","","","","","q5","","","","","q6","","","","","q7","","","","","q8","","","","","q9","","","",""
"","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95"
"b_treatment",".3264366",".3380262",".9657141",".3351094","-.3392669,.9921402",".1734822",".2697497",".6431228",".5207269","-.3577588,.7047232",".2783255",".1715144","1.622753",".1058877","-.0594524,.6161033",".2372445",".1996364","1.188383",".235797","-.1559165,.6304055",".2807857",".1169951","2.399979",".0171194",".0503774,.511194",".279036",".1255174","2.223087",".0270939",".031844,.5262281",".2737304",".0639522","4.280234",".0000265",".1477839,.3996769",".1398857",".1331788","1.05036",".2945548","-.1223946,.4021659",".0526588",".2047316",".2572091",".7972264","-.3505364,.4558541"
"_Icommunity_2",".4455172",".5299258",".8407161",".4013009","-.5981107,1.489145",".7045052",".3981784","1.769321",".0780451","-.0796613,1.488672",".3940413",".2609296","1.510144",".1322546","-.1198295,.9079121",".4506008",".2974648","1.514804",".1310704","-.1352218,1.036423",".476982",".1711313","2.787228",".0057193",".1399585,.8140054",".4782896",".1857671","2.574673",".0106028",".1124427,.8441364",".4650446",".0916328","5.075089","7.51e-07",".2845843,.6455048",".1033399",".1885798",".5479903",".5841817","-.2680463,.4747261","-.3927066",".2866455","-1.370008",".171899","-.9572219,.1718087"
"_Icommunity_3","1.017426",".5873942","1.732101",".0844744","-.1393793,2.174231","1.047838",".4676555","2.24062",".0259189",".1268446,1.968832",".5123366",".2874436","1.78239",".0758848","-.0537504,1.078424",".5123785",".329514","1.554952",".1212074","-.1365613,1.161318",".616627",".1898461","3.248036",".0013193",".242747,.990507",".5485304",".2011859","2.726485",".0068489",".1523179,.9447428",".4032118",".1040097","3.876676",".000135",".1983767,.6080469",".1881166",".2082152",".9034721",".3671348","-.2219392,.5981725","-.2465931",".3125587","-.7889499",".43088","-.8621414,.3689551"
"_Icommunity_4","1.173484",".8474738","1.384684",".1673689","-.4955183,2.842486","1.560527",".5814653","2.683784",".0077598",".4153984,2.705656",".921454",".3787399","2.432946",".0156701",".1755693,1.667339",".7052886",".4342125","1.624294",".1055583","-.1498429,1.56042",".5874519",".2599382","2.259968",".0246741",".0755336,1.09937",".5167851",".2785467","1.85529",".0647179","-.0317806,1.065351",".3807501",".14663","2.596672",".009964",".0919792,.6695209",".2041005",".3088629",".6608124",".5093339","-.4041695,.8123705","-.1774158",".4961587","-.3575788",".7209567","-1.154543,.7997115"
"_Icommunity_5",".9975918",".7552875","1.320811",".187758","-.48986,2.485044","1.670773",".5022214","3.326765",".0010091",".6817056,2.65984","1.005184",".3180738","3.160221",".0017684",".3787739,1.631594",".766115",".3763298","2.035754",".042817",".0249767,1.507253",".6011951",".220348","2.72839",".0068106",".1672452,1.035145",".3864128",".2384454","1.62055",".1063598","-.083178,.8560035",".2574311",".1251669","2.056702",".0407404",".0109292,.503933","-.0086301",".2815447","-.0306528",".9755706","-.5631001,.5458398","-.3357475",".4276091","-.7851739",".4330863","-1.177874,.5063793"
"b_care_female",".1841011",".3415834",".5389638",".5903858","-.4886081,.8568102","-.1845337",".2947862","-.6259918",".5318847","-.7650811,.3960137","-.1603659",".1889668","-.8486458",".3968806","-.5325142,.2117825","-.3696484",".2235702","-1.653388",".0994921","-.8099443,.0706474","-.2120152",".1299029","-1.632106",".1039013","-.4678439,.0438135","-.1544705",".1383724","-1.116339",".2653362","-.4269791,.118038","-.0635746",".0700213","-.9079328",".3647777","-.2014734,.0743242","-.0201803",".1465671","-.1376864",".8905978","-.3088272,.2684666",".0682171",".2263542",".3013733",".7633774","-.3775614,.5139956"
"b_care_marcohab","-.2686954",".6404198","-.4195613",".675162","-1.529928,.9925376","-.3708499",".4796878","-.773107",".4401808","-1.31554,.5738398","-.2019117",".2890113","-.6986291",".4854256","-.7710862,.3672628","-.1921705",".3365468","-.5710068",".5685019","-.8549606,.4706196","-.0664904",".2033253","-.3270148",".7439271","-.4669161,.3339353","-.0276668",".218228","-.1267794",".8992157","-.4574418,.4021082","-.1635014",".1069887","-1.528213",".127709","-.3742033,.0472004","-.1120227",".2168814","-.5165159",".6059453","-.5391457,.3151003",".1694956",".2737604",".6191385",".5363823","-.3696439,.7086351"
"b_christian",".586576",".7190575",".8157567",".4154066","-.8295249,2.002677",".9076343",".4492332","2.020408",".0443948",".0229213,1.792347",".6775511",".2799117","2.420589",".0162002",".1262973,1.228805",".4748721",".3228024","1.471092",".1425088","-.16085,1.110594",".2842651",".1933483","1.470223",".142744","-.0965122,.6650424",".0575576",".2098787",".274242",".7841224","-.3557743,.4708894",".0042115",".1101694",".0382277",".9695363","-.2127545,.2211775","-.1191243",".2354859","-.5058661",".6133911","-.5828867,.344638",".1329519",".4045497",".3286417",".7426983","-.6637621,.929666"
"b_incall99",".0011403",".0050079",".227705",".8200595","-.0087222,.0110029",".0020914",".0034135",".6126812",".5406375","-.0046311,.0088138",".0023281",".0020358","1.143581",".2538784","-.0016811,.0063373",".0016313",".0023163",".7042973",".4818954","-.0029303,.0061929",".0012977",".0014013",".9260149",".3553207","-.0014621,.0040575",".0020539",".001408","1.458764",".1458705","-.000719,.0048268",".0013321",".0005684","2.343687",".0198688",".0002128,.0024515",".0004525",".0012182",".3714524",".7106115","-.0019466,.0028516",".0008387",".0014356",".5842122",".5595981","-.0019885,.0036658"
