"","q1","","","","","q2","","","","","q3","","","","","q4","","","","","q5","","","","","q6","","","","","q7","","","","","q8","","","","","q9","","","",""
"","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95","b","se","t","p","ci95"
"b_treatment","0","2.60e-08","0","1","-5.13e-08,5.13e-08",".0032114",".1361536",".0235865",".981201","-.2649274,.2713502","-.0185973",".1596776","-.1164675",".9073744","-.3330639,.2958694",".0578337",".1145475",".5048888",".6140764","-.1677543,.2834217","-.0198058",".1525984","-.1297906",".8968352","-.3203308,.2807191",".0785394",".1916981",".4097035",".6823701","-.2989879,.4560666","-.0186793",".1980696","-.0943067",".9249401","-.4087546,.371396",".1141846",".30796",".3707775",".7111135","-.4923071,.7206764",".3576115",".2245472","1.59259",".1125008","-.0846082,.7998313"
"_Icommunity_2","0","3.90e-08","0","1","-7.68e-08,7.68e-08","-.0441888",".2263271","-.1952433",".8453592","-.4899139,.4015362","-.1353042",".2451445","-.5519364",".5814791","-.6180881,.3474797",".0030647",".172178",".0177994",".9858129","-.3360201,.3421494","-.0465121",".2256559","-.2061195",".8368633","-.4909154,.3978912","-.2209889",".2831181","-.7805539",".4357946","-.7785573,.3365795","-.003943",".2879922","-.0136912",".9890871","-.5711105,.5632245",".0875815",".4385569",".1997039",".8418726","-.7761058,.9512688",".8463488",".346417","2.44315",".0152441",".1641204,1.528577"
"_Icommunity_3","0","4.33e-08","0","1","-8.53e-08,8.53e-08","-.1783308",".2306548","-.7731505",".4401551","-.6325788,.2759171","-.1638279",".2583227","-.6341986",".5265242","-.6725647,.3449089",".131241",".1837515",".7142309",".4757428","-.2306364,.4931184","-.042754",".2481194","-.172312",".86333","-.5313966,.4458887","-.2747539",".3108041","-.8840099",".3775301","-.8868467,.3373389","-.4066772",".3207971","-1.267708",".2060676","-1.03845,.2250958","-.2302663",".5220131","-.4411121",".6595085","-1.258311,.7977784","-.0298881",".355721","-.0840211",".9331061","-.7304395,.6706634"
"_Icommunity_4","0","5.44e-08","0","1","-1.07e-07,1.07e-07","-.5583332",".3414822","-1.635029",".1032866","-1.230843,.1141767","-.8117888",".3757583","-2.160402",".0316808","-1.551801,-.0717762","-.3456535",".25773","-1.341146",".1810759","-.853223,.1619161","-.6830738",".3401078","-2.008404",".0456631","-1.352877,-.0132707","-.5591268",".4228549","-1.322266",".1872737","-1.391891,.2736373","-.5005681",".409341","-1.222863",".2225192","-1.306718,.3055818","-.0610463",".6409309","-.0952462",".9241947","-1.323286,1.201193",".7421158",".5028329","1.47587",".1412223","-.2481555,1.732387"
"_Icommunity_5","0","4.66e-08","0","1","-9.19e-08,9.19e-08","-.4400236",".2908278","-1.513004",".1315268","-1.012775,.1327282","-.7197917",".3194543","-2.253191",".025104","-1.34892,-.0906632","-.2014107",".2215221","-.9092126",".3641032","-.637673,.2348516","-.3940477",".2920065","-1.349448",".1783993","-.9691208,.1810255","-.3533369",".3611191","-.97845",".3287865","-1.064519,.3578455","-.326869",".3532943","-.9252033",".3557418","-1.022641,.3689034",".113515",".5647527",".2009995",".8408605","-.9987004,1.22573",".5899042",".4474299","1.318428",".1885526","-.2912574,1.471066"
"b_care_female","0","2.86e-08","0","1","-5.63e-08,5.63e-08",".0042507",".1546765",".0274815",".9780973","-.3003667,.3088682",".210183",".175378","1.198457",".2318605","-.1352038,.5555698",".1267336",".1285582",".985807",".3251696","-.126447,.3799141",".1540517",".1688599",".9123045",".3624769","-.1784985,.4866019",".1885626",".213743",".882193",".3785099","-.2323796,.6095047",".2112356",".2204518",".9581942",".3388796","-.2229188,.6453901",".1360439",".3587675",".3791979",".7048589","-.5705074,.8425952","-.3104415",".2670335","-1.162556",".246105","-.8363332,.2154503"
"b_care_marcohab","0","4.72e-08","0","1","-9.30e-08,9.30e-08","-.1361432",".2387488","-.570236",".5690237","-.6063315,.3340451",".1168063",".2585067",".4518501",".6517641","-.3922928,.6259053",".1502981",".1989902",".7553037",".4507693","-.2415903,.5421864",".1421882",".2697103",".5271888",".5985245","-.3889751,.6733515","-.0641051",".3346825","-.1915399",".8482563","-.7232238,.5950137","-.0025201",".3427377","-.0073527",".9941392","-.6775024,.6724623",".0086172",".5414314",".0159156",".9873143","-1.05767,1.074904","-.0411719",".39588","-.1040011",".9172509","-.820812,.7384681"
"b_christian","0","4.08e-08","0","1","-8.03e-08,8.03e-08","-.1754059",".251753","-.6967382",".4866063","-.6712045,.3203926","-.251261",".2690009","-.9340527",".3511673","-.7810274,.2785053","-.1681335",".188876","-.8901797",".3742151","-.540103,.2038359","-.3263997",".2501762","-1.304679",".1931876","-.8190928,.1662935","-.0668373",".3116555","-.2144589",".830362","-.6806068,.5469323",".1511158",".3041213",".4968931",".6196959","-.4478161,.7500477",".2425844",".5054254",".4799608",".6316699","-.7527928,1.237962",".4244255",".4447879",".9542201",".340883","-.4515329,1.300384"
"b_incall99","0","3.03e-10","0","1","-5.97e-10,5.97e-10","-.0027166",".0015739","-1.726029",".085563","-.0058162,.000383","-.0034446",".0018114","-1.901695",".058347","-.0070119,.0001226","-.0024683",".0013305","-1.855166",".0647357","-.0050886,.000152","-.0018927",".0018556","-1.019974",".308715","-.0055471,.0017618","-.0009233",".0021344","-.4325703",".6656954","-.0051267,.0032802","-.0017365",".0026122","-.6647569",".5068114","-.0068808,.0034079","-.0023192",".0034467","-.6728806",".5016374","-.0091071,.0044687","-.0040594",".0019082","-2.127294",".0343632","-.0078174,-.0003013"
